Stock Name,Market Price,Market Change,Market Change Percent,Previous Close,Market Open,Market Range,Market Share Volume Available
Transocean Ltd. (RIG),6.37,-0.19,-2.90%,6.56,6.51,6.23 - 6.55,"14,377,349"
Newmont Corporation (NEM),40.54,-0.66,-1.60%,41.20,40.62,40.22 - 40.99,"13,240,615"
"ImmunoGen, Inc. (IMGN)",29.22,-0.10,-0.34%,29.32,29.10,29.05 - 29.28,"13,739,142"
AGNC Investment Corp. (AGNC),9.08,+0.03,+0.33%,9.05,9.00,8.97 - 9.09,"13,696,450"
Hewlett Packard Enterprise Company (HPE),16.54,-0.35,-2.07%,16.89,16.75,16.50 - 16.87,"13,279,617"
"Pinterest, Inc. (PINS)",34.50,-0.29,-0.83%,34.79,33.97,33.92 - 34.63,"11,954,223"
"PayPal Holdings, Inc. (PYPL)",59.85,+0.20,+0.34%,59.65,59.43,59.24 - 60.38,"14,065,370"
Paramount Global (PARA),15.95,+0.17,+1.08%,15.78,15.74,15.48 - 16.00,"13,141,345"
Wells Fargo & Company (WFC),45.12,+0.10,+0.22%,45.02,44.71,44.52 - 45.33,"13,106,305"
RLX Technology Inc. (RLX),2.1300,-0.0700,-3.18%,2.2000,2.1800,2.1300 - 2.2500,"12,991,271"
"Marvell Technology, Inc. (MRVL)",52.01,-0.79,-1.50%,52.80,52.02,50.63 - 52.08,"12,987,844"
Gerdau S.A. (GGB),4.4700,-0.0800,-1.76%,4.5500,4.5100,4.4500 - 4.5100,"12,852,191"
Sirius XM Holdings Inc. (SIRI),4.5600,-0.3200,-6.56%,4.8800,4.8500,4.5300 - 4.8600,"14,529,042"
B2Gold Corp. (BTG),3.2700,-0.1400,-4.11%,3.4100,3.3700,3.2500 - 3.3800,"12,401,313"
"Coupang, Inc. (CPNG)",15.36,-0.44,-2.78%,15.80,15.50,15.30 - 15.61,"12,157,665"
Southwest Airlines Co. (LUV),27.30,+0.61,+2.29%,26.69,26.66,26.42 - 27.32,"12,152,994"
"Peloton Interactive, Inc. (PTON)",6.34,+0.12,+1.93%,6.22,6.19,6.14 - 6.63,"11,979,561"
"Chewy, Inc. (CHWY)",18.71,+0.39,+2.13%,18.32,18.24,18.23 - 19.73,"11,880,207"
Freeport-McMoRan Inc. (FCX),37.61,-1.63,-4.15%,39.24,38.09,37.50 - 38.58,"15,440,655"
Chevron Corporation (CVX),144.87,+0.06,+0.04%,144.81,143.49,143.25 - 145.70,"11,584,969"
Southwestern Energy Company (SWN),6.50,-0.14,-2.11%,6.64,6.57,6.47 - 6.61,"11,579,900"
"Kinder Morgan, Inc. (KMI)",17.85,+0.10,+0.56%,17.75,17.69,17.66 - 17.90,"10,934,187"
Unity Software Inc. (U),32.63,+0.11,+0.34%,32.52,32.00,31.85 - 33.02,"11,554,584"
Viatris Inc. (VTRS),9.68,+0.31,+3.31%,9.37,9.32,9.31 - 9.76,"12,949,486"
The Charles Schwab Corporation (SCHW),62.64,-0.52,-0.82%,63.16,62.50,62.30 - 63.35,"11,327,558"
The Coca-Cola Company (KO),58.57,-0.07,-0.12%,58.64,58.59,58.44 - 58.96,"14,486,939"
Lloyds Banking Group plc (LYG),2.2500,0.0000,0.00%,2.2500,2.2400,2.2350 - 2.2700,"10,816,855"
Amcor plc (AMCR),9.48,-0.08,-0.84%,9.56,9.48,9.45 - 9.57,"9,783,957"
Taiwan Semiconductor Manufacturing Company Limited (TSM),97.01,-1.54,-1.56%,98.55,97.05,95.25 - 97.20,"10,593,658"
XPeng Inc. (XPEV),16.02,+0.28,+1.78%,15.74,15.67,15.48 - 16.20,"10,649,730"
QuantumScape Corporation (QS),6.92,+0.09,+1.32%,6.83,6.75,6.69 - 7.13,"10,799,874"
